prompt,lang
"こんにちは！いい天気ですね。",ja
"そろそろコーヒーでも飲みませんか？",ja
"おやつにクッキーを焼いてみました！",ja
"今日はカレーを作るのはどうでしょう？",ja
"少し散歩すると気持ちいいですよ。",ja
"新しい音楽を探してみませんか？",ja
"今夜は映画でも見ようと思っています。",ja
"休憩がてらストレッチしませんか？",ja
"週末はのんびり過ごすのもいいですね。",ja
"たまには違う道を歩いてみませんか？",ja
"ホットチョコレートが飲みたくなりました。",ja
"今日は図書館に行ってみようかな。",ja
"お風呂にゆっくり浸かるのもいいですね。",ja
"部屋の模様替えをしてみるのはどう？",ja
"たまには早寝するのも悪くないですね。",ja
"寒い日はシチューがぴったりですね。",ja
"お気に入りの服を着ると気分が上がる！",ja
"窓を開けて新鮮な空気を入れましょう。",ja
"お茶を飲みながらのんびりしましょう。",ja
"甘いものが食べたくなってきました。",ja
"新しいレシピに挑戦するのも楽しいかも。",ja
"朝の空気が気持ちよくて好きです。",ja
"雨の日は読書がはかどりますね。",ja
"今日はちょっと贅沢なご飯にしようかな。",ja
"音楽を聴きながら掃除すると楽しい！",ja
"そろそろお昼ごはんの時間ですね。",ja
"今日はスープを作ろうと思っています。",ja
"久しぶりにアルバムを見返すのもいいですね。",ja
"クッションをふかふかに整えると気持ちいい！",ja
"夜風が気持ちよさそうだから散歩しようかな。",ja
"今日はちょっと特別なコーヒーを淹れよう。",ja
"新しい文房具を使うと気分が上がる！",ja
"窓辺に植物を置くと癒されますね。",ja
"靴をピカピカに磨くと気持ちいい！",ja
"お気に入りの曲をかけてリラックスしよう。",ja
"たまには手紙を書いてみるのもいいですね。",ja
"昼寝すると頭がスッキリしますよ。",ja
"お気に入りのマグカップでお茶を飲もう。",ja
"フルーツを切ってヨーグルトに入れよう。",ja
"のんびり深呼吸すると気持ちが落ち着きますね。",ja
"静かなカフェで読書するのもいいですね。",ja
"今日はおしゃれして出かけようかな。",ja
"たまには違う料理に挑戦するのも楽しい。",ja
"温かいスープを飲むとほっとしますね。",ja
"お風呂に好きな香りの入浴剤を入れてみよう。",ja
"今日は早めに仕事を終わらせてのんびりしよう。",ja
"お気に入りの香りを部屋に広げてみるのはどう？",ja
"たまには贅沢にデザートを食べるのもいいですね。",ja
"静かな場所でぼーっとする時間も大切ですね。",ja
"新しいノートに何か書き始めてみようかな。",ja
"たまにはおしゃれなレストランで食事するのもいいね。",ja
"ふわふわの毛布にくるまると幸せな気分になりますね。",ja
"お気に入りの靴を履いて出かけよう！",ja
"夜に星を眺めるのも楽しいですね。",ja
"今日は好きな映画を観る日にしよう。",ja
"美味しい紅茶を入れて一息つきましょう。",ja
"何か小さな贈り物を自分に買ってみよう。",ja
"窓を開けて新鮮な空気を吸い込みましょう！",ja
"朝早く起きると気持ちがいいですね。",ja
"今日はスニーカーを履いてたくさん歩こう！",ja
"今日はゆっくり音楽を楽しむ日にしよう。",ja
"たまにはお気に入りのカフェに行ってみよう。",ja
"部屋に花を飾ると気分が明るくなりますね。",ja
"クッションをふかふかに整えてリラックスしよう。",ja
"温かいココアを飲みながらのんびりしよう。",ja
"そろそろ新しい本を読んでみるのはどう？",ja
"ふとんを干すと気持ちよく眠れそう！",ja
"たまにはノートに今日の出来事を書いてみよう。",ja
"ふわふわのタオルで顔を拭くと気持ちいい！",ja
"今日はお気に入りの服を着て過ごそう。",ja
"アロマを炊いてリラックスするのもいいですね。",ja
"夕焼けを眺めながら散歩するのも気持ちいい。",ja
"たまにはお気に入りの写真を見返してみよう。",ja
"新しいコーヒー豆を試してみるのはどう？",ja
"今日は少し早起きして朝の時間を楽しもう。",ja
"ゆっくりお風呂に入ると疲れが取れますね。",ja
"あたたかいスープを作って体を温めよう。",ja
"何か新しいことに挑戦するのも楽しいかも！",ja
"お気に入りの音楽を聴きながらストレッチしよう。",ja
"そろそろ模様替えをして気分を変えてみようかな。",ja
"好きな飲み物を片手に読書するのもいいですね。",ja
"たまには甘いものを食べてリフレッシュしよう！",ja
"朝の空気を吸いながら軽く運動するのもいいですね。",ja
"雨の日はのんびり映画を観るのが最高ですね。",ja
"今日は手書きでメモを取ってみようかな。",ja
"たまには夜更かしして好きなことを楽しむのもアリ！",ja
"ちょっといい紅茶を買ってみるのも楽しそう。",ja
"お気に入りの香りのキャンドルを灯してみよう。",ja
"静かな時間を大切にするのもいいですね。",ja
"何か小さなご褒美を自分にあげてみよう！",ja
"今日はお気に入りの靴でお出かけしよう。",ja
"たまには手書きの手紙を書いてみるのもいいね。",ja
"雨音を聞きながらのんびり過ごすのも素敵。",ja
"ちょっと贅沢にフルーツをたくさん食べよう！",ja
"朝の光を浴びながら深呼吸すると気持ちいい！",ja
"今日は好きなスイーツを買って帰ろう。",ja
"ふかふかのタオルに包まれると幸せな気分になる！",ja
"お気に入りの雑貨を並べて気分を上げよう！",ja
"たまにはお気に入りの曲を大音量で聴こう！",ja
"今日は「何もしない日」にしてみるのもいいかも。",ja
"雨の音を聞きながら本を読もう。",ja
"誰かと話したい気分の午後です。",ja
"あのパン屋、また行きたくなったな。",ja
"空がきれいすぎて立ち止まった。",ja
"今日も無事に過ごせて感謝。",ja
"月がまるで絵みたいに見える夜。",ja
"一口目のコーヒーって幸せ。",ja
"新しい靴、そろそろ履こうかな。",ja
"窓から差す光がやさしい朝です。",ja
"あえて予定を入れない休日も好き。",ja
"あのとき笑った理由を思い出した。",ja
"ご飯を炊く香りって安心する。",ja
"寒い日は鍋で心もあったまる。",ja
"お気に入りの傘、今日は出番かな。",ja
"布団から出たくない朝ランキング1位。",ja
"昔のアルバム、久しぶりに見ようかな。",ja
"なんでもない日がいちばん幸せ。",ja
"明日はちょっと早起きしてみよう。",ja
"ふと誰かの顔が浮かぶ夜もある。",ja
"大人になってもお菓子は嬉しい。",ja
"会議室、ちょっと寒くない？",ja
"この企画、うまくいきそう！",ja
"昼休みは外に出てみようかな。",ja
"もうちょっとで今日のノルマ達成！",ja
"コーヒー飲んでリフレッシュ完了。",ja
"やっぱり朝イチのタスクが大事だな。",ja
"同僚が差し入れ持ってきてくれた！",ja
"今日は定時で帰るって決めてた。",ja
"名刺切らしてた…コンビニ寄ろう。",ja
"近くのカフェ、意外と穴場だった。",ja
"お客さん、優しい方で助かった。",ja
"この資料、あと1スライドで完成！",ja
"取引先の対応が神すぎて感動。",ja
"新しいプロジェクト、ワクワクする。",ja
"スーツじゃなくても気持ちはビシッと。",ja
"もうちょっとだけ飲んでいこう？",ja
"二軒目、行くかどうか迷う時間。",ja
"店員さんのおすすめが大正解！",ja
"あの居酒屋、コスパ最高だった。",ja
"誰かがグラスを静かに置いた音。",ja
"カラオケで全力熱唱してスッキリ。",ja
"帰りの電車、みんな疲れてるな。",ja
"タクシー、なかなか捕まらないね。",ja
"深夜のラーメン、なんでこんなに旨い？",ja
"明日は朝から予定あるんだった…。",ja
"遊園地ってやっぱりテンション上がる。",ja
"ボウリング、久しぶりにやると楽しい。",ja
"水族館、癒ししかない空間だった。",ja
"展望台から見る夜景が最高すぎた。",ja
"あの屋台のたこ焼き、もう一回食べたい。",ja
"鍵は最初から開いていたんです。",ja
"その部屋には誰もいないはずだ。",ja
"消えた手紙は、もう戻らない。",ja
"音もなく何かが近づいていた。",ja
"血のついた指輪だけが残された。",ja
"あの晩、月は赤く染まっていた。",ja
"機械が静かに動作を止めた。",ja
"窓の外に別の星が見えていた。",ja
"夢で見た景色が現実にあった。",ja
"私は過去に戻ってしまったのか？",ja
"この杖には封じられし力がある。",ja
"風が囁く。封印が解かれたのだ。",ja
"闇の中から声が聞こえてくる…。",ja
"王の剣が、再び選ばれし者に。",ja
"竜が空を裂き、炎を吐いた。",ja
"伝説は、ほんとうだったのか…。",ja
"姫を助けるには三日以内だ。",ja
"馬が駆ける。追っ手はすぐそこだ。",ja
"拙者の名を覚えておけぃ。",ja
"敵はまだ山の向こうにおる。",ja
"抜かぬ刀の誓い、今ここに破る。",ja
"影の者ども、全て始末いたした。",ja
"これぞ、我が家に伝わる秘薬じゃ。",ja
"火縄銃にて討ち取ってみせようぞ。",ja
"城下に不穏な噂が流れておる。",ja
"曇り空の下、彼はまだ来ない。",ja
"背後から微かな足音がした。",ja
"今日は書類が山のようだ…。",ja
"まさかの展開に全員が沈黙した。",ja
"秘密は、誰にも話していない。",ja
"駅のホームでふと涙が出た。",ja
"空を見上げたら、船が浮かんでた。",ja
"壁の向こうに、もう一つの世界。",ja
"龍の鱗が光る、風の中で。",ja
"古びた地図に道が現れた。",ja
"砂漠の奥に眠る城を目指す。",ja
"本日、姫の奪還に向かいます！",ja
"将軍様の機嫌がよろしゅうて…。",ja
"今日の殿様、なんだかお優しい。",ja
"魚がうまいと酒も進むなぁ。",ja
"もう一軒どうじゃ？と肴が言う。",ja
"あの笑顔に、また会いたいと思った。",ja
"時計が止まっていることに気づいた。",ja
"書きかけの手紙が風に舞った。",ja
"火星でラーメン屋を始めました。",ja
"魔法で皿洗い、夢のような生活。",ja
"拙者、今日が誕生日でござる。",ja
"運命なんて、信じてなかった。",ja
"あの角を曲がれば何かが変わる。",ja
"世界の終わりは案外静かだった。",ja
"鏡の中の自分が笑ってた。",ja
"ノックは三回、誰もいない。",ja
"留守電に知らない声が残ってた。",ja
"赤い靴だけが玄関に置かれていた。",ja
"二階から足音…誰もいないのに。",ja
"写真に映るはずのないもの。",ja
"誰かが名前を呼んでいる気がした。",ja
"廊下の電気がひとつずつ消える。",ja
"壁のシミが日に日に人の形に。",ja
"トンネルの中で時計が止まった。",ja
"真夜中、勝手に開いた窓。",ja
"書いた覚えのない日記が増える。",ja
"夢と同じ部屋に今いる気がする。",ja
"消したはずのロウソクが灯ってる。",ja
"声がするのに口が動いてない。",ja
"背中に誰かの息がかかった気がした。",ja
"暗闇から白い手が伸びてきた。",ja
"この部屋、もう一人いる気がする。",ja
"電話の向こうで泣いてる声。",ja
"昨日まであったはずの道がない。",ja
"今日は空が少しだけ優しい。",ja
"夢の中でだけ会える人がいる。",ja
"この書類、どこに出すんだっけ？",ja
"あの道、昨日より狭く感じた。",ja
"もうすぐ春が来る気がする。",ja
"宴もたけなわ、次は何を？",ja
"飲みすぎたけど後悔はしてない。",ja
"今日の会議、時間泥棒だったな。",ja
"失くした指輪が机の下にあった。",ja
"椅子が勝手に揺れている…。",ja
"名もなき星に一人降り立つ。",ja
"古の書が語る未来の真実とは。",ja
"あの雲、なんだか魚みたい。",ja
"誰かの夢を代わりに見てた気がする。",ja
"昼休みのラーメンは正義。",ja
"殿、すでに城内に敵が…。",ja
"鍋を囲むと自然に笑いが生まれる。",ja
"窓の外の月が異様に大きい。",ja
"封印が解かれた夜、風が哭く。",ja
"知らぬ番号から着信が続く。",ja
"僕のこと、まだ覚えてるかな。",ja
"いつか全部笑い話になるさ。",ja
"冷蔵庫にプリンがなかった…。",ja
"あの頃の夢、まだ持ってる？",ja
"傘、貸してくれたあの人元気かな。",ja
"過去に戻れたら何を変える？",ja
"会いたい人に限ってすれ違う。",ja
"宇宙の果てにもコンビニがある。",ja
"目が覚めたら見知らぬ部屋だった。",ja
"星を数えて眠る習慣がついた。",ja
"桜が咲く前に話したいことがある。",ja
"今日も同じ夢を見た気がする。",ja
"明日はもっと上手くやれる気がする。",ja
"その言葉で救われた夜がある。",ja
"運命って、後から気づくもの。",ja
"時計の針が逆に進み始めた。",ja
"鍵をかけたはずの扉が開いている。",ja
"神殿の奥から鼓動のような音。",ja
"魔法ではなく、想いで治した。",ja
"お主、名を名乗れぃ！",ja
"風が、何かを告げている…。",ja
"ただ一言、「好き」と言えばよかった。",ja
"忘れてた感情が胸に溢れる。",ja
"一瞬の沈黙がすべてを語った。",ja
"好きな色を聞かれて迷ってしまった。",ja
"願いが一つだけ叶うとしたら。",ja
"同じ星を見てると思うだけで。",ja
"花びらが風に乗って踊っている。",ja
"小さな勇気が世界を変えた。",ja
"今日も誰かが誰かを思ってる。",ja
"遠くの灯りが帰る場所を教えてくれる。",ja
"会いたいという言葉の重み。",ja
"光の向こうに何があるのか。",ja
"誰かの笑顔が一日を変える。",ja
"幻だったとしても信じたかった。",ja
"嘘でもいいからそばにいて。",ja
"大丈夫って言葉に救われた。",ja
"沈黙の中に本音があった。",ja
"朝焼けがすべてを照らし出す。",ja
"昨日より今日、今日より明日。",ja
"思い出の中で今も君は笑ってる。",ja
"星降る夜に願いをひとつ。",ja
"最後に見た景色は青かった。",ja
"鏡に映る自分が泣いていた。",ja
"本当の孤独は騒がしい。",ja
"人の心ほど謎めいたものはない。",ja
"優しさが痛みに変わる瞬間がある。",ja
"願いが叶ったとしても戻れない。",ja
"雨音が過去を呼び覚ます。",ja
"なぜか懐かしい匂いがした。",ja
"誰もいない教室に椅子の音。",ja
"夢から目覚めたら季節が変わってた。",ja
"名前を呼ばれた気がした夜。",ja
"時の狭間に落ちた感情。",ja
"手紙には書かれていない想い。",ja
"声を上げる代わりに涙が落ちた。",ja
"残された靴だけが語っていた。",ja
"誰にも言えない幸せがある。",ja
"静けさが不安を育てていく。",ja
"この出会いに意味があると信じたい。",ja
"おにぎりに梅干し入れすぎた。",ja
"上司の冗談、誰も笑わなかった。",ja
"古井戸の底から声がする。",ja
"赤い封筒、渡すタイミング逃した。",ja
"飲み会で靴がなくなった件。",ja
"魔王、今日は休暇を取ります。",ja
"花火、君と見る予定だったのに。",ja
"雨宿りが恋の始まりでした。",ja
"階段の踊り場に誰かいたよね？",ja
"犬がずっと空に吠えている。",ja
"「また来ます」と彼は言った。",ja
"タイムカードがひとつ多かった。",ja
"空飛ぶバスに間に合わなかった。",ja
"静寂がやけにうるさく感じた。",ja
"弁当箱のふた、どこいった？",ja
"宝箱、開けたら芋が入ってた。",ja
"きつねに化かされたかもしれん。",ja
"わらしべが王になるとは思わず。",ja
"月明かりが道を照らしていた。",ja
"お姫様、逃げ足が速すぎます。",ja
"上司が急にポエムを書き出した。",ja
"鎧の中、実は猫だった件。",ja
"山の向こうに巨大な塔が見える。",ja
"廃駅の時計が動いていた。",ja
"今日は残業しません、絶対に。",ja
"あの橋、昨日まで無かったよね？",ja
"風鈴の音に昔を思い出す。",ja
"同僚の背中に羽が生えてた。",ja
"上司、3日帰ってきてない。",ja
"温泉の底から出てきた巻物。",ja
"ピーマン、もうちょっと小さく切って。",ja
"勇者、転職してパン屋になりました。",ja
"壁に描かれた地図が動いてる。",ja
"夢日記が現実と混ざってきた。",ja
"今日は定時で帰るって決めた。",ja
"祭りの音が誰もいない町から。",ja
"妖精、ついに上司に見つかった。",ja
"朝礼、なぜか体育館に集合。",ja
"吸血鬼、今は野菜中心の生活。",ja
"君の机に手紙が届いていた。",ja
"鳩にメモを結んで送ってみた。",ja
"町のはずれに謎の扉がある。",ja
"魔法の言葉、聞こえてしまった。",ja
"炎の中に少女の姿があった。",ja
"彼女の影だけが動いていた。",ja
"忘年会で謎のダンスが始まった。",ja
"商談中に龍が乱入してきた。",ja
"忍びの者、玄関で正座していた。",ja
"書類の山から笛が出てきた。",ja
"くしゃみ一つで世界が変わった。",ja
"パンが喋り出した朝のこと。",ja
"今日の議題は「宇宙猫対策」でした。",ja
"転職先が魔法省でした。",ja
"鏡の中の時計が早すぎる。",ja
"路地裏に小さな王国がある。",ja
"砂時計の中に森が見えた。",ja
"鬼が夜勤してるって本当？",ja
"喫茶店にて、時を売ります。",ja
"目玉焼きの焼き加減、哲学です。",ja
"月に恋文を送る時代が来た。",ja
"妖怪と契約社員の話。",ja
"炊飯器から異世界の風が。",ja
"雲が落ちてくる夢を見た。",ja
"書斎に隠された階段を見つけた。",ja
"この店、昨日と店員が全員違う。",ja
"お味噌汁に星が浮いていた。",ja
"時計塔の鐘が逆に鳴る夜。",ja
"魚が空を泳いでいた朝。",ja
"コーヒーに未来が映ってた。",ja
"鳴かぬなら、ロボにしてしまえ。",ja
"君の名前が地図に載ってる。",ja
"あの山の奥に国があるらしい。",ja
"なぜか机が2つに増えていた。",ja
"火山の神様が上司になった。",ja
"今日の上司、やけにピカピカしてる。",ja
"ドアの向こうが砂漠だった。",ja
"昨夜の会話、全部夢だった？",ja
"古本屋で時間を買いました。",ja
"影が動かないって怖くない？",ja
"手紙に返事が、もう書いてあった。",ja
"指輪が突然歌い出した。",ja
"この階、昨日まで無かったはず。",ja
"花瓶に差したのは時の枝。",ja
"白い部屋に音だけがあった。",ja
"トーストに魔法陣が焼き付いた。",ja
"隣の人、数日前と顔が違う。",ja
"記憶の底にいる誰かが笑った。",ja
"自販機から異世界切符が出た。",ja
"空港で精霊の出国審査。",ja
"お茶を淹れたら時間が止まった。",ja
"壁から手紙が出てきました。",ja
"会社の床が一晩で森になってた。",ja
"雨の日だけ開く扉があるらしい。",ja
"おみくじに「宇宙旅行」と書かれてた。",ja
"上司が紙になって帰ってきた。",ja
"運命を変えるには5円玉が必要らしい。",ja
"宝石店で記憶を売っていた。",ja
"迷路の中心にベンチがあった。",ja
"誰かの夢に迷い込んだ気がする。",ja
"記念撮影に写ったはずのない人。",ja
"上司が急に空を飛んだ。",ja
"古地図にだけある村があった。",ja
"会議室にいたのは鹿だった。",ja
"山奥の温泉が空に浮いた。",ja
"商談相手が透明だった件。",ja
"神社の鈴がひとりで鳴った。",ja
"同僚がロボットだったらしい。",ja
"引き出しに世界が入ってた。",ja
"スマホから声が出っぱなし。",ja
"昼休みに未来から手紙が。",ja
"課長の影が反対に動いてた。",ja
"受付嬢が時間を止めた。",ja
"朝礼で魔法陣が光った。",ja
"会社の天井に星が広がった。",ja
"コピー機から異音がしてる。",ja
"窓の外、恐竜が歩いてた。",ja
"お茶を淹れたら煙が逆流した。",ja
"エレベーターに妖精がいた。",ja
"名刺に「呪術師」と書いてある。",ja
"上司が幽霊に相談していた。",ja
"会議室が無限ループしてる。",ja
"コーヒーから星の匂いがした。",ja
"時計が12時で止まっている。",ja
"隣のデスクに異世界の地図。",ja
"謎の上司が金色に光っていた。",ja
"机の引き出しが深すぎる。",ja
"外回り中にドラゴンを見た。",ja
"昼休みに異世界に迷い込んだ。",ja
"議事録が未来の日付だった。",ja
"上司の声が二重に聞こえた。",ja
"会議中、全員が夢の中だった。",ja
"コピー機が「命」を出力した。",ja
"社内に謎の扉が現れた。",ja
"夜のビルで影が増えていた。",ja
"タイムカードに血の跡が。",ja
"新人が古代語を話していた。",ja
"機密書類に魔法陣が描かれてた。",ja
"隣の部署が異世界へ移転した。",ja
"忘年会で魔法が飛び交った。",ja
"鍋パで異次元の具材が出た。",ja
"休憩室に時間の裂け目が。",ja
"書類棚に妖精が住んでいた。",ja
"宇宙会議が会議室Bで開催。",ja
"誰かが未来の会話を聞いてた。",ja
"会社の冷蔵庫に地球外生命体。",ja
"書類の中から砂漠の風が吹く。",ja
"夜になると床が透けて見える。",ja
"デスクに謎の古文書が届いた。",ja
"ロッカーの中が別世界だった。",ja
"タイムリープが日常になった。",ja
"喫茶店に座ると名前が消えた。",ja
"瞬きをしたら季節が変わった。",ja
"壁を抜けたら江戸時代だった。",ja
"宇宙人とランチミーティング。",ja
"会議資料が生きて動いていた。",ja
"幽霊が受付業務してました。",ja
"デスクから竹が生えてきた。",ja
"魔王が経理部に異動してきた。",ja
"上司がタイムマシンに乗った。",ja
"飲み会に天狗が混ざっていた。",ja
"オフィスに月の石が置かれてた。",ja
"コピー機に願いが叶う鍵が。",ja
"外から見えない社長室がある。",ja
"社員証に呪文が刻まれていた。",ja
"部長が夢の中で働いている。",ja
"空から辞表が降ってきた。",ja
"姿が見えない上司と会議。",ja
"スマホが昨日に戻っていた。",ja
"通勤中に異星人と遭遇した。",ja
"昨日の自分が現れて助言くれた。",ja
"宇宙船で営業に出かけた。",ja
"課長の席が浮いて回っている。",ja
"本棚に異世界の小説があった。",ja
"机が自動で移動し始めた。",ja
"お茶菓子が未来食だった。",ja
"上司が召喚術を使っていた。",ja
"会議で竜語が必要になるとは。",ja
"妖怪が部下になったんだけど。",ja
"幻の出勤簿が見つかった。",ja
"昇進祝いが呪具だった件。",ja
"コピー用紙が空間を裂いた。",ja
"デスクに謎の魔導書が。",ja
"妖精が勤怠管理している。",ja
"壁から異音と光が漏れてる。",ja
"トイレに続く道が長すぎる。",ja
"机の引き出しから雪が出た。",ja
"月曜なのに時間が止まった。",ja
"会議室の床が星空だった。",ja
"書類の間に伝説の地図が。",ja
"喫煙所に妖怪が集まってた。",ja
"隣の島に会社ができてた。",ja
"同僚がタイムトラベルしてた。",ja
"会議がループして終わらない。",ja
"夢の中で出社していたらしい。",ja
"名刺が未来で使われていた。",ja
"上司が異世界から来た王だった。",ja
"ドアの向こうが海の底だった。",ja
"引き出しに宇宙地図があった。",ja
"神様がプレゼンしてたらしい。",ja
"冷蔵庫に火山ができていた。",ja
"会議中に地球がリセットされた。",ja
"タイムカードが過去を刻んだ。",ja
"階段が無限に続いていた。",ja
"魔法が経費で落ちる時代。",ja
"朝礼で空が割れた気がする。",ja
"隣の席が存在しない日がある。",ja
"受付に言霊が漂っていた。",ja
"空中に議事録が浮かんでいた。",ja
"会議資料が歌い出した。",ja
"プリンターから風が吹いてる。",ja
"社食に迷宮ができていた。",ja
"会議中に異世界転移しました。",ja
"オフィスに小人が引っ越してきた。",ja
"上司が千年前の人物だった。",ja
"宇宙の果てから内線が来た。",ja
"魔法の傘で営業へ向かった。",ja
"書類に魂が宿っていた。",ja
"デスクの下に小さな扉が。",ja
"忘れられた部署が浮かび上がった。",ja
"社内報が未来を予言していた。",ja
"Hello! How are you today?",en
"Let’s take a short break.",en
"How about a cup of coffee?",en
"I baked some cookies! Want some?",en
"Let’s go for a walk and enjoy the fresh air.",en
"How about trying a new recipe today?",en
"A warm bath sounds nice tonight.",en
"Let’s listen to some music and relax.",en
"How about watching a movie tonight?",en
"I’m thinking of rearranging my room.",en
"A hot cup of tea would be perfect right now.",en
"Let’s go to a café and unwind.",en
"Reading a book on a rainy day feels great.",en
"Let’s treat ourselves to something sweet!",en
"Taking deep breaths helps clear the mind.",en
"How about an early morning walk tomorrow?",en
"Candles with a nice scent would be relaxing.",en
"Tonight, let’s stargaze for a while.",en
"How about wearing your favorite outfit today?",en
"Let’s enjoy a slow and peaceful morning.",en
"A cup of cocoa sounds nice right now.",en
"Let’s try a new type of coffee today!",en
"A warm blanket makes everything better.",en
"Taking a nap might be a good idea.",en
"Let’s listen to our favorite playlist.",en
"A little stretch break sounds good!",en
"A handwritten note might be a nice touch.",en
"Let’s have a fancy dessert today.",en
"How about doing nothing and just relaxing?",en
